Set Code,CN,Card name,Rarity,Type
PZA,9,Silverclad Ferocidons,M,Borderless Source Material
PZA,10,Underworld Breach,M,Borderless Source Material
PZA,11,Doubling Season,M,Borderless Source Material
PZA,12,Rhythm of the Wild,M,Borderless Source Material
PZA,13,Waves of Aggression,M,Borderless Source Material
PZA,14,Arcbound Ravager,M,Borderless Source Material
PZA,15,Conqueror's Flail,M,Borderless Source Material
PZA,16,Metallic Mimic,M,Borderless Source Material
PZA,17,Shadowspear,M,Borderless Source Material
PZA,18,Sword of Sinew and Steel,M,Borderless Source Material
PZA,19,Umezawa's Jitte,M,Borderless Source Material
PZA,20,Undercity Sewers,M,Borderless Source Material
